WORLD,LEVEL,ADVANCED,OLKO,Text,Text Gamepad,Text Mobile,Level,Hints,requiresNewsletter,NAME,DUDS
1,1,,,LOK1_TEXT,LOK1_TEXT_CONTROLLER,LOK1_TEXT_MOBILE,"3
2
LOK
-#-",LOK,,Tutorial,
1,2,,,LOK2_TEXT,,,"4
3
LKOL
O--#
K--K","LOK
LOK",,Tutorial2,
1,3,,,LOK3_TEXT,,,"8
5
----KLOK
---LO---
---K----
---O----
LOKL----","LOK
LOK
LOK",,No Turning!,
1,4,,,LOK4_TEXT,LOK4_TEXT_CONTROLLER,LOK4_TEXT_MOBILE,"3
4
#K-
LOK
OL-
K--","LOK
LOK",,Order,
1,5,,,LOK5_TEXT,,,"5
6
--L--
--O--
-K#--
LOOK#
-L#--
--K--","LOK
LOK
LOK",,Jump over,
1,6,,,,,,"8
1
OKKOLOOL","LOK
LOK",,Line,
1,7,,,,,,"5
4
--O--
KKOLL
-OLO-
-LOK-","LOK
LOK
LOK",,Meeple,
1,8,,,,,,"5
5
LOL--
O-O--
KOLOK
--O--
--K--","LOK
LOK
LOK",,Knot,
1,9,,,,,,"7
4
K------
O#L#O#K
KLOKO#L
L------","LOK
LOK
LOK
LOK",*,Long shot,
1,10,*,,LOK_STAR_WARNING,,,"5
5
-K-K-
LLOKL
-O-O-
LKOLK
-O-O-","LOK
LOK
LOK
LOK",*,Hash,
1,11,*,*,,,,"5
8
-K-L-
-LOK-
-#-O-
-KOL-
-O-#-
-LOK-
-#-O-
-KOL-","LOK
LOK
LOK
LOK
LOK",,(Raindrinker) LOK DNA,
1,12,*,,,,,"5
5
KKOK-
KOKKL
OLOOL
LOOLK
LKLLK","LOK
LOK
LOK
LOK
LOK
LOK",,Mess,
,,,,,,,,,,,
2,1,,,TLAK1_TEXT,,,"8
3
TLTLAKAK
###-----
#-------","TLAK
TLAK",,Tutorial,
2,2,,,HINTS_DICT_TEXT,HINTS_DICT_TEXT_CONSOLE,HINTS_DICT_TEXT_MOBILE,"5
4
-#L#-
KAOLT
--K--
--#--","LOK
TLAK",,Tlak lok,
2,3,,,,,,"7
6
--#-T--
--T-L--
--L-#--
LOA###K
--K-A--
----K--","TLAK
TLAK
LOK",,Adjacency,
2,4,,,,,,"4
4
KTL-
LLK-
OAO#
LKK#","TLAK
LOK
LOK",,Flip flop,
2,5,,,,,,"6
4
-LOK--
TL#AK-
#KAL#T
K###OL","LOK
TLAK
TLAK
LOK",,Jump over yourself,
2,6,,,,,,"3
7
-#-
-TT
TLL
LAA
AKK
KOL
-#-","LOK
TLAK
TLAK",,Vertical,
2,7,,,,,,"5
5
--K--
-##--
TLOAK
KOL#-
-KL--","LOK
LOK
TLAK",,Loktlak ball,
2,8,,,,,,"7
5
-#K----
KALLT--
K#O#O#L
-LOK---
--L----","LOK
LOK
TLAK
LOK",*,Trickery loktlak,
2,9,*,,,,,"7
5
--K----
--O-L--
--LOK--
TLAKOOK
--LOK--","LOK
LOK
LOK
LOK",*,Red herring,
2,10,*,,,,,"8
5
---K----
-TOLOAK-
KOALLOKT
--LOOK--
---K----","LOK
TLAK
LOK
TLAK",,(Raindrinker) TLAK trick,
2,11,*,*,,,,"8
4
L------L
TTLLAAKK
OLOKOAKO
K-K-K--K","LOK
TLAK
LOK
LOK
LOK",,TTLLAAKK,
,,,,,,,,,,,
3,1,,,TA1_TEXT,,,"2
2
TA
AA",TA,,Tutorial,
3,2,,,,,,"4
5
T---
A---
-TA-
---T
---E","TA
TA",,Slow Realisation,
3,3,,,,,,"5
3
-HHH-
TGTGA
-GAG-","TA
TA",,2 tas,
3,4,,,,,,"7
2
SALASOK
---T---","TA
LOK",,Salasok,
3,5,,,,,,"4
3
TE#A
LT#A
LETA","TA
TA
TA",,Blank TA,
3,6,,,,,,"7
3
T#T#LAK
#######
TLALOK-","LOK
TA
TLAK",,Blank middle,
3,7,,,,,,"6
4
---T--
--FLED
TELAAK
-LOK--","LOK
TA
TLAK",,Fled,
3,8,,*,,,,"3
7
O--
OK-
TLA
LOK
AKT
KL-
O--","LOK
TLAK
TA",,The D,
