key,comment,en,fr-fr,it,de,es,pt-br,ru,zh-cn,zh-tw,ko,jp,nl,cat,tok,sl
test,test,test-en,,,,test-es,,test-ru,test-cn,,,,,test-cat,test-toki,test-sl
,,Red background translations need changes.,,,,,,,,,,,,,,
LOKINFO_TEXT1,Lok (which should be untranslated) is a not-all-caps proper noun which refers to the type of creature seen in the game.,"Lok are a fresh new kind of living beings that spawned in the middle of a vast, incomprehensible world.<br><br>Help them understand their surroundings and guide them towards expansion of their civilisation.",Les Lok sont de tous nouveaux êtres vivants apparus au beau milieu d'un monde vaste et incompréhensible.<br><br>Aidez-les à appréhender leur environnement et guidez l'expansion de leur civilisation.,I Lok sono una nuova specie di esseri viventi apparsi nel bel mezzo di un mondo vasto e incomprensibile. <br><br>Aiutali a comprendere l'ambiente circostante e guidali nell'espansione della loro civiltà.,"Lok sind eine neue Art von Lebewesen, die inmitten einer riesigen, unverständlichen Welt entstanden sind.<br><br>Hilf ihnen, ihre Umgebung zu verstehen und führe sie zum Ausbau ihrer Zivilisation.",Los lok son una nueva especie de seres vivos que surgieron en mitad de un mundo vasto e incomprensible.<br><br>Ayúdalos a entender sus alrededores y guíalos para que expandan su civilización.,Os Lok são uma nova espécie de seres vivos que surgiu em meio a um vasto e incompreensível mundo.<br><br>Ajude-os a compreender seus arredores e guie-os na expansão de sua civilização.,"Lok — новый вид живых существ, появившихся из ниоткуда посреди неизвестного для них огромного мира.<br><br>Помогите им освоиться и возглвьте расширение их цивилизации.",LOK是一种前所未见的全新生物，<br>出现在了一个匪夷所思的广阔世界。<br><br>帮助它们理解周围的环境，引导它们开拓文明。,前所未見的生物「LOK」，全新現蹤於這片神祕的廣闊國度。<br><br>你將幫助他們探索周遭，逐步拓展其文明。,Lok들은 광활하고 비현실적인 세계 한가운데에 태어난 새로운 생명체입니다.<br><br>Lok들이 주변 환경을 이해하고 그들만의 문명을 발전시켜나갈수 있도록 도와주세요.,Lokは広くてよくわからない世界のまん中で生まれたばかりの新しい生き物。<br><br>この子たちの周りに何があるかわかるよう手助けしてあげて、文明が進歩できるようみちびいてあげましょう。,"Lok zijn een frisse nieuwe soort wezens die verschenen in het midden van een uitgestrekte, onbegrijpelijke wereld.<br><br>Help ze hun omgeving te begrijpen en begeleid de uitbreiding van hun beschaving.",Lok són un nou tipus de forma de vida que ha aparegut enmig d'un món vast i incomprensible.<br><br>Ajuda'ls a entendre el seu entorn i guia'ls cap a l'expansió de la seva civilització.,jan ko sin Lok li kama lon tan ala lon ma suli nasa.<br><br>o pana e sona tawa jan ko. ona o kama sona e ma. kulupu ona o kama suli o tawa ma mute.,"Lok so povsem nova vrsta živih bitij, ki se je pojavila sredi širnega, nedoumljivega sveta.<br><br>Pomagajte jim razumeti svoje okolje in jih vodite v širjenju civilizacije."
LOK1_TEXT,LOK is a keyword form the game and should be kept uppercase and in latin alphabet and never translated.,Click on tiles to spell <b>LOK</b>.<br>Use <b>LOK</b> by clicking on an additional tile.,"Cliquez sur les tuiles pour former le mot <b>LOK</b>.<br>Puis, utilisez <b>LOK</b> en cliquant sur une autre tuile.",Fai clic sulle tessere per scrivere <b>LOK</b>.<br>Usa <b>LOK</b> cliccando su una tessera aggiuntiva.,"Klicke auf Kacheln, um <b>LOK</b> zu buchstabieren.<br>Benutze <b>LOK</b>, indem du auf eine zusätzliche Kachel klickst.",Pulsa en las casillas para deletrear <b>LOK</b>.<br>Usa <b>LOK</b> pulsando en una casilla adicional.,Clique nos espaços para soletrar <b>LOK</b>.<br>Use <b>LOK</b> ao clicar em um espaço adicional.,"Нажимайте на плитки, чтобы написать <b>LOK</b>.<br>Используйте <b>LOK</b>, нажав на дополнительную плитку.",依次点击三个字母方块，拼出“<b>LOK</b>”。<br>然后，点击另一个方块，让<b>LOK</b>把它涂黑。,依序點擊方塊，拼出「<b>LOK</b>」。<br>接著，你可以點擊另一個方塊，使用<b>LOK</b>將其塗黑。,타일을 클릭해 <b>LOK</b> 단어를 만들어 보세요.<br> 추가 타일을 클릭해 <b>LOK</b> 를 사용하세요.,タイルをクリックして<b>LOK</b>の文字列を作りましょう。タイルを1つクリックして<b>LOK</b>を使ってみましょう<br>。,Klik op tegels om <b>LOK</b> te spellen.<br>Gebruik <b>LOK</b> door op een volgende tegel te klikken.,Fes clic a caselles per escriure <b>LOK</b>.<br>Usa <b>LOK</b> fent clic en una casella més.,o luka e ma lili mute o sitelen e nimi <b>LOK</b>.<br>o kepeken wawa LOK: o luka e ma wan ante.,"Kliknite na kvadratke, da črkujete <b>LOK</b><br>Uporabite <b>LOK</b> s klikom na dodaten kvadratek.
"
LOK1_TEXT_MOBILE,LOK is a keyword form the game and should be kept uppercase and in latin alphabet and never translated.,Tap on tiles to spell <b>LOK</b>.<br>Use <b>LOK</b> by tapping on an additional tile.,"Appuyez sur les tuiles pour former le mot <b>LOK</b>.<br>Puis, utilisez <b>LOK</b> en appuyant sur une autre tuile.",Tocca le tessere per scrivere <b>LOK</b>.<br>Usa <b>LOK</b> toccando una tessera aggiuntiva.,"Tippe auf Kacheln, um <b>LOK</b> zu buchstabieren.<br>Benutze <b>LOK</b>, indem du auf eine zusätzliche Kachel tippst.",Toca las casillas para deletrear <b>LOK</b>.<br>Usa <b>LOK</b> tocando una casilla adicional.,Toque nos espaços para soletrar <b>LOK</b>.<br>Use <b>LOK</b> ao tocar em um espaço adicional.,"Тапайте плитки, чтобы написать <b>LOK</b>.<br>Используйте <b>LOK</b>, тапнув дополнительную плитку.",依次轻按三个字母方块，拼出“<b>LOK</b>”。<br>然后，轻按另一个方块，让<b>LOK</b>把它涂黑。,依序點按方塊，拼出「<b>LOK</b>」。<br>接著，你可以點按另一個方塊，使用<b>LOK</b>將其塗黑。,타일을 탭해 <b>LOK</b> 단어를 만들어 보세요.<br> 추가 타일을 가볍게 탭해 <b>LOK</b> 를 사용하세요.,タイルをタップして<b>LOK</b>の文字列を作りましょう。タイルを1つタップして<b>LOK</b>を使ってみましょう<br>。,Tik op tegels om <b>LOK</b> te spellen.<br>Gebruik <b>LOK</b> door op een volgende tegel te tikken.,Toca caselles per escriure <b>LOK</b>.<br>Usa <b>LOK</b> fent clic en una casella més.,o luka e ma lili mute o sitelen e nimi <b>LOK</b>.<br>o kepeken wawa LOK: o luka e ma wan ante.,"Kliknite na kvadratke, da črkujete <b>LOK</b><br>Uporabite <b>LOK</b> s klikom na dodaten kvadratek.
"
LOK1_TEXT_CONTROLLER,For controller; {a} will be a button prompt and can be replaced with other glyphs,Press {a} on tiles to spell <b>LOK</b>.<br>Use <b>LOK</b> by pressing {a} on an additional tile.,"Pressez {a} sur les tuiles pour former le mot <b>LOK</b>.<br>Puis, utilisez <b>LOK</b> en pressant {a} sur une autre tuile.",Premi {a} sulle tessere per scrivere <b>LOK</b>.<br>Usa <b>LOK</b> premendo {a} su una tessera aggiuntiva.,"Drücke {a} auf Kacheln, um <b>LOK</b> zu buchstabieren.<br>Benutze <b>LOK</b>, indem du {a} auf einer weiteren Kachel drückst.",Pulsa {a} en las casillas para deletrear <b>LOK</b>.<br>Usa <b>LOK</b> pulsando {a} en una casilla adicional.,Pressione {a} nos espaços para soletrar <b>LOK</b>.<br>Use <b>LOK</b> ao pressionar {a} em um espaço adicional.,"Нажимайте {a} на плитках, чтобы написать <b>LOK</b>.<br>Используйте <b>LOK</b>, нажав {a} на дополнительной плитке.",把光标移到方块上，然后按{a}选中，依次选中三个字母方块，拼出“<b>LOK</b>”。<br>然后，把光标移到另一个方块上，按{a}，让<b>LOK</b>把它涂黑。,在方塊上按{a}選取，依序拼出「<b>LOK</b>」。<br>接著，你可以在另一個方塊按{a}，使用<b>LOK</b>將其塗黑。,타일의 {a} 를 눌러 <b>LOK</b>단어를 만들어 보세요.<br> 추가 타일의 {a} 를 눌러 <b>LOK</b>를 사용하세요.,タイルをえらんで{a}を押して<b>LOK</b>の文字列を作りましょう。タイルを1つえらんで<b>LOK</b>を使ってみましょう</b>。,Druk op {a} bij tegels om <b>LOK</b> te spellen.<br>Gebruik <b>LOK</b> door bij een volgende tegel op {a} te drukken.,Prem {a} en caselles per escriure <b>LOK</b><br>. Usa <b>LOK</b> fent clic en una casella més.,o nena {a} e ma lili mute o sitelen e nimi <b>LOK</b>.<br>o kepeken wawa LOK: o nena {a} e ma wan ante.,"Kliknite na kvadratke, da črkujete <b>LOK</b><br>Uporabite <b>LOK</b> s klikom na dodaten kvadratek.
"
LOK2_TEXT,,You must always black out all tiles in a level.,Il faut toujours noircir l'intégralité des tuiles d'un niveau.,Devi sempre annerire tutte le tessere di un livello.,Du musst immer alle Kacheln in einem Level schwärzen.,Siempre tienes que oscurecer todas las casillas del nivel.,Você sempre precisa escurecer todos os espaços de um nível.,Ваша цель — зачернить все плитки на уровне.,所有方块必须都涂黑，才能过关。,將所有方塊塗黑，即可通關。,플레이어는 레벨 내에 존재하는 모든 타일을 검은색으로 만들어야 합니다.,ステージ中のすべてのタイルを黒くぬりつぶしましょう。,Je moet altijd alle tegels in een levels zwart maken.,Sempre has de pintar de negre totes les caselles de cada nivell.,sina wile pimeja e ma walo ale.,Vedno morate počrniti vse kvadratke v mreži.
LOK3_TEXT,"Straight as in a row or column in a grid, without turning direction",Keywords must be spelled in a straight line.,Les mots-clés sont à former en ligne droite.,Le parole chiave devono essere scritte in linea retta.,Schlüsselwörter müssen in einer geraden Linie buchstabiert werden.,Las palabras clave deben deletrearse en línea recta.,Palavras-chave devem ser soletradas em linha reta.,Ключевые слова нужно всегда писать по прямой.,一个单词的字母必须在一条直线上。,你拼出的關鍵字必須位於一直線上。,모든 키워드들은 반드시 같은 선상에 위치해야 합니다.,キーワードはかならずタテまたはヨコにまっすぐでないといけません。,Sleutelwoorden moeten gespeld worden in een rechte lijn.,Les paraules claus s'han d'escriure en línea recta.,nimi la ma ale pi sitelen ona o lon palisa.,Besede morajo biti črkovane v ravni črti.
LOK4_TEXT,,You can hold click and drag to select tiles.<br>You can also undo moves or reset the puzzle any time.,Vous pouvez maintenir votre clic et glisser pour sélectionner des tuiles.<br>Il vous est également possible à tout moment d'annuler vos actions ou de réinitialiser le niveau.,Puoi tenere premuto e trascinare per selezionare le tessere.<br>Puoi anche annullare le mosse o reimpostare il rompicapo in qualsiasi momento.,"Du kannst klicken und ziehen, um Kacheln auszuwählen.<br>Du kannst auch jederzeit Züge rückgängig machen oder das Rätsel zurücksetzen.",Puedes mantener pulsado y arrastrar para seleccionar casillas.<br>También puedes deshacer movimientos o reiniciar el puzle siempre que quieras.,Clique e arraste para selecionar espaços.<br>Também é possível desfazer movimentos ou reiniciar o puzzle a qualquer momento.,"Вы можете кликать мышкой и тянуть, чтобы выбирать плитки.<br>Вы также можете отменять ходы или сбрасывать задачки в любое время.",长按鼠标左键，按照一定次序划过需要选中的方块。<br>随时可以回到前一步或者重玩正在玩的关卡。,你可以用長按拖曳的方式選取方塊。<br>你也能隨時回上一步，或是重新開始關卡。,"타일들을 클릭 후 드래그해 선택할 수 있습니다.<br>또, 언제든지 선택사항을 되돌리거나 퍼즐을 리셋할 수 있습니다.",クリックボタンを押したままでドラッグしながらタイルをえらぶこともできます。<br>また動作の取り消しやリセットもいつでもできます。,Je kan klikken en slepen om tegels te selecteren.<br>Ook kan je altijd zetten ongedaan maken en puzzels opnieuw beginnen.,Pots fer clic i arrossegar per seleccionar caselles. Pots desfer moviments o reiniciar el puzzle en qualsevol moment.,"sina luka e ma li awen luka li tawa e luka lon ma mute la sina luka e ma mute.<br>tenpo ale la sina ken weka e pali pini nanpa wan, li ken weka e pali ale.","Kvadratke lahko izberete tudi tako, da povlečete z miško.<br>Prav tako lahko kadarkoli greste korak nazaj."
LOK4_TEXT_MOBILE,,You can tap and drag to select tiles.<br>You can also undo moves or reset the puzzle at any time.,Vous pouvez appuyer et glisser pour sélectionner des tuiles.<br>Il vous est également possible à tout moment d'annuler vos actions ou de réinitialiser le niveau.,Puoi toccare e trascinare per selezionare le tessere.<br>Puoi anche annullare le mosse o reimpostare il rompicapo in qualsiasi momento.,"Du kannst tippen und ziehen, um Kacheln auszuwählen.<br>Du kannst auch jederzeit Züge rückgängig machen oder das Rätsel zurücksetzen.",Puedes tocar y arrastrar para seleccionar casillas.<br>También puedes deshacer movimientos o reiniciar el puzle siempre que quieras.,É possível tocar e arrastar para selecionar espaços.<br>Você também pode desfazer movimentos ou reiniciar o puzzle a qualquer momento.,"Вы можете тапать и тянуть, чтобы выбирать плитки.<br>Вы также можете отменять ходы или сбрасывать задачки в любое время.",可以用按住屏幕，按照一定次序划过需要选中的方块。<br>也随时可以回到前一步或者重玩正在玩的关卡。,你可以用長按拖曳的方式選取方塊。<br>你也能隨時回上一步，或是重新開始關卡。,"타일들을 가볍게 누른 후 드래그해서 선택할 수 있습니다.<br>또, 언제든지 선택사항을 되돌리거나 퍼즐을 리셋할 수 있습니다.",タップとドラッグでタイルをえらぶこともできます。<br>また動作の取り消しやリセットもいつでもできます。,Je kan tikken en slepen om tegels te selecteren.<br>Ook kan je altijd zetten ongedaan maken en puzzels opnieuw beginnen.,Pots tocar i arrossegar per seleccionar caselles. Pots desfer moviments o reiniciar el puzzle en qualsevol moment.,"sina luka e ma li awen luka li tawa e luka lon ma mute la sina luka e ma mute.<br>tenpo ale la sina ken weka e pali pini nanpa wan, li ken weka e pali ale.","Kvadratke lahko izberete tudi tako, da povlečete s prstom.<br>Prav tako lahko kadarkoli greste korak nazaj."
